,AD_kcal,affinity_moles,affinity_type,affinity_value,data_type,gauss1,gauss2,hydrogen,hydrophobic,kcal,name,repulsion,series
0,-6.18331,2.3e-09,nM,2.3,Ki,81.32564,1201.78153,2.22671,56.58508,-11.85664163722214,4qd6,4.15172,core-2016
0,-11.08875,9e-11,pM,90.0,Ki,108.13829,1737.66424,1.0513,85.68617,-13.788515142721135,4rfm,2.49618,core-2016
0,-5.80162,7.999999999999999e-05,uM,80.0,Ki,65.42737,753.11763,0.92697,8.36554,-5.623299766673402,4cr9,1.07795,core-2016
0,-9.52348,6e-08,uM,0.06,Ki,110.08656,1833.22636,4.92368,26.22337,-9.91249997186316,4cra,3.82195,core-2016
0,-10.30713,5e-09,nM,5.0,Ki,163.33321,1934.63889,4.20073,24.84749,-11.393752825801787,4x6p,4.4,core-2016
0,-9.6912,1.9e-09,uM,0.0019,Ki,150.24705,1927.8724,3.81985,26.763,-11.97052966385639,4crc,4.37844,core-2016
0,-9.62223,3e-10,nM,0.3,Ki,119.70666,1672.08536,5.65756,23.25022,-13.070826954062445,4ty7,3.43813,core-2016
0,-5.18669,0.00104,uM,1040.0,Kd,67.13609,873.10964,0.0,18.62511,-4.094333454690581,5aba,1.36183,core-2016
0,-6.59758,0.000271,uM,271.0,Kd,106.99171,1227.63399,0.0,50.66404,-4.896002814476113,5a7b,1.97103,core-2016
0,-5.3953,0.000107,uM,107.0,Kd,88.07559,975.61963,1.00274,28.98533,-5.449952575379761,4agn,2.19981,core-2016
0,-6.11915,2.06e-05,uM,20.6,Kd,100.50116,1156.97002,0.0,42.2669,-6.432049833320785,4agp,1.7849,core-2016
0,-6.3415,9.699999999999999e-06,uM,9.7,Kd,102.19219,1163.54148,0.41617,40.88225,-6.881011603250388,4agq,1.72488,core-2016
0,-10.53501,5.5e-07,uM,0.55,Ki,71.44778,1334.54478,1.75822,94.09889,-8.59179647975293,3bgz,1.6386,core-2016
0,-7.49256,1.3009999999999998e-07,uM,0.1301,Ki,57.56521,992.36276,0.0,27.17742,-9.451143117296201,3jya,0.74507,core-2016
0,-8.88095,2.5000000000000002e-08,nM,25.0,Kd,77.81165,1287.70383,0.62217,72.39324,-10.434366886199822,2c3i,1.60969,core-2016
0,-9.25315,1.1000000000000001e-09,nM,1.1,Ki,93.30541,1577.80592,1.19881,54.44134,-12.296324367222397,4k18,2.83705,core-2016
0,-10.50437,6e-12,pM,6.0,Ki,95.32886,1721.82892,3.0,76.13961,-15.402783867598163,5dwr,4.07939,core-2016
0,-5.95066,2.2e-05,uM,22.0,Kd,54.85279,859.00811,0.0,57.5051,-6.392855437155611,3mss,0.22127,core-2016
0,-8.46409,5e-07,uM,0.5,Kd,77.33301,1437.99248,0.0,55.88112,-8.648610877934287,3k5v,0.82419,core-2016
0,-8.77257,1.37e-07,nM,137.0,Kd,89.17558,1289.10751,1.19139,56.25038,-9.42033813551761,3pyy,2.59849,core-2016
0,-9.54686,5e-09,uM,0.005,Kd,90.40887,1693.00582,3.22704,39.86424,-11.393752825801787,2v7a,2.79255,core-2016
0,-8.31382,1e-10,pM,100.0,Ki,108.19295,1561.35982,2.39315,73.10807,-13.725709739337505,4twp,6.10813,core-2016
0,-6.32523,2.9699999999999997e-07,uM,0.297,Kd,86.72478,1099.42211,1.10235,12.67274,-8.959105037463466,3wtj,2.86246,core-2016
0,-4.87153,7.9e-08,nM,79.0,Ki,76.95045,859.60077,0.87603,22.4515,-9.748510900548162,3zdg,2.59211,core-2016
0,-6.53285,2.2000000000000003e-09,nM,2.2,Ki,78.59855,1036.43074,1.92905,12.98879,-11.883139332890613,3u8k,2.43824,core-2016
0,-10.45781,4.0000000000000007e-10,nM,0.4,Kd,119.95257,1467.46881,1.89375,79.76133,-12.899339670673939,4qac,3.74365,core-2016
0,-6.69709,6.700000000000001e-11,nM,0.067,Ki,97.02569,1138.46065,1.90717,20.55457,-13.964434416786052,3u8n,3.91029,core-2016
0,-4.99866,4.9999999999999996e-05,uM,50.0,Ki,85.68172,1306.81599,3.59471,20.49321,-5.903468930066786,1a30,4.7111,core-2016
0,-8.87953,7.699999999999999e-07,uM,0.77,Ki,114.03141,2257.76908,4.27126,73.07558,-8.391225379503023,2qnq,7.96312,core-2016
0,-11.48162,1.1000000000000001e-08,nM,11.0,Ki,141.4756,2352.14226,7.23578,77.97656,-10.923753393288647,1g2k,5.49692,core-2016
0,-11.73006,2.0000000000000003e-10,nM,0.2,Ki,154.24057,2545.65641,7.94473,100.43295,-13.312524705005721,1eby,5.69358,core-2016
0,-9.60051,1.5e-12,pM,1.5,Ki,140.09763,2244.30478,5.78988,53.75959,-16.229153936261728,3o9i,4.88722,core-2016
0,-6.30297,1.6e-05,uM,16.0,Kd,52.53503,785.91872,2.01384,31.78302,-6.582685706275369,4lzs,0.96688,core-2016
0,-8.72242,2.4599999999999997e-06,uM,2.46,Kd,66.2324,1017.87785,0.0,61.2669,-7.698839662900723,3u5j,0.62239,core-2016
0,-8.04559,5.5e-07,nM,550.0,Kd,64.42764,981.7446,0.46187,61.76481,-8.59179647975293,4wiv,0.4002,core-2016
0,-6.43068,1.64e-07,nM,164.0,Kd,62.5787,1248.58761,2.11586,48.24387,-9.313108387777751,4ogj,1.22626,core-2016
0,-8.62313,5.05e-08,nM,50.5,Kd,80.7779,1291.39857,0.74316,61.70482,-10.015250459646463,3p5o,1.17726,core-2016
0,-6.97225,0.0005200000000000001,mM,5.2,Ki,91.11996,979.83764,10.09426,0.0,-4.507518489022364,1ps3,7.17185,core-2016
0,-5.20038,0.000265,uM,265.0,Ki,64.65739,646.59085,11.13937,3.67626,-4.909348894332116,3dx1,7.72392,core-2016
0,-5.2873,1.3e-05,uM,13.0,Ki,85.40717,911.07705,9.26155,0.0,-6.706459531619681,3d4z,8.28863,core-2016
0,-5.52363,1.5000000000000002e-07,nM,150.0,Ki,76.93702,845.80842,12.50755,0.0,-9.366299066592976,3dx2,9.47216,core-2016
0,-7.59867,2.7e-09,nM,2.7,Ki,114.23691,1331.3563,10.8997,21.75255,-11.761061383512326,3ejr,9.5851,core-2016
0,-8.32845,0.000401,mM,4.01,Ki,88.39002,1224.40865,5.02954,6.52596,-4.662425436785058,3l7b,2.81059,core-2016
0,-8.1466,0.000303,uM,303.0,Ki,120.36011,1602.87591,9.87141,20.36416,-4.829469718238369,4eky,8.47303,core-2016
0,-8.75211,8.099999999999999e-05,uM,81.0,Ki,81.59311,1306.84852,6.82049,17.49967,-5.6158947025022625,3g2n,3.51085,core-2016
0,-9.6324,7.9e-06,uM,7.9,Ki,98.8055,1310.0134,9.87777,2.29152,-7.003368952680662,3syr,5.0864,core-2016
0,-8.98529,1.24e-06,uM,1.24,Ki,104.80706,1204.55776,0.0,68.13837,-8.107197950212843,3ebp,1.79033,core-2016
0,-6.45187,8.9e-05,uM,89.0,Ki,84.52884,1128.20265,7.85955,13.70667,-5.559749703605175,2w66,7.08465,core-2016
0,-5.85695,1.4e-05,uM,14.0,Kd,73.11872,1041.65396,5.26919,0.0,-6.662283769418847,2w4x,4.17029,core-2016
0,-6.11765,2.4999999999999998e-06,uM,2.5,Ki,85.42796,1202.33772,4.45189,45.16757,-7.68922493833232,2wca,5.08712,core-2016
0,-8.24694,2.2e-07,nM,220.0,Ki,88.45547,1120.50801,6.41133,20.64967,-9.137997385023112,2xj7,4.72585,core-2016
0,-6.72672,5.0000000000000004e-08,nM,50.0,Kd,92.9709,1165.58519,5.36149,12.65173,-10.021181851868036,2vvn,5.25506,core-2016
0,-5.52686,0.0006,uM,600.0,Kd,80.33851,885.22313,0.68423,18.79255,-4.422216076128159,3aru,1.59935,core-2016
0,-9.55253,2.2999999999999996e-06,uM,2.3,Kd,108.13056,934.28228,0.26821,76.82671,-7.738928715420888,3arv,2.32994,core-2016
0,-5.49892,1e-06,uM,1.0,Kd,88.11342,684.08702,0.0,27.11357,-8.235425843602503,3ary,1.74264,core-2016
0,-8.76112,4e-07,uM,0.4,Kd,120.71499,1380.12739,0.96477,72.96441,-8.781626748872688,3arq,3.52655,core-2016
0,-8.45688,7e-08,uM,0.07,Kd,139.63438,1467.69623,0.0,102.65905,-9.820610751618132,3arp,2.08258,core-2016
0,-5.26388,7.8e-05,uM,78.0,Kd,49.78003,949.74908,0.06392,17.72093,-5.638391712012838,4ih5,1.35333,core-2016
0,-7.00782,5.7999999999999995e-06,uM,5.8,Kd,61.46061,950.91631,0.91024,35.30254,-7.187566738949533,4ih7,1.23442,core-2016
0,-6.83274,3.1e-07,uM,0.31,Kd,75.0372,1011.69827,3.03745,45.32172,-8.933568018876409,3cj4,2.90333,core-2016
0,-7.51721,7.000000000000001e-09,nM,7.0,Kd,63.37782,1097.92931,2.51945,62.86965,-11.193181725551883,4eo8,1.72197,core-2016
0,-11.8325,7.900000000000001e-10,nM,0.79,Kd,128.17998,2005.51635,3.91522,43.83668,-12.493652848415666,3gnw,3.69303,core-2016
0,-10.13232,4.2999999999999995e-06,uM,4.3,Ki,73.49399,1214.85972,1.82439,47.01276,-7.365945428571321,1gpk,1.3872,core-2016
0,-10.01638,3.34e-07,uM,0.334,Ki,86.73521,1262.70414,1.18392,47.12343,-8.889117619490344,1gpn,2.28433,core-2016
0,-9.66911,4.500000000000001e-09,nM,4.5,Ki,132.40836,2005.02275,2.9168,112.52649,-11.456558229185417,1h23,3.05264,core-2016
0,-9.71352,8.000000000000001e-10,nM,0.8,Ki,129.96333,1917.03846,2.7618,96.90276,-12.486154636342155,1h22,2.89771,core-2016
0,-11.69347,1.3000000000000002e-10,nM,0.13,Ki,126.46677,1345.51235,0.0,89.23055,-13.569314401288434,1e66,2.19678,core-2016
0,-6.78464,6.479999999999999e-05,uM,64.8,Ki,88.48772,1065.40463,5.14631,43.76067,-5.748910573440663,3f3a,5.98619,core-2016
0,-7.47712,9.5e-07,nM,950.0,Ki,88.98139,1052.96071,5.93372,34.85989,-8.266001776386922,3f3c,5.10434,core-2016
0,-9.20811,3.18e-07,nM,318.0,Kd,87.74992,1359.64226,2.09064,59.31891,-8.918379936128492,4mme,4.07269,core-2016
0,-5.24551,6.900000000000001e-08,nM,69.0,Kd,66.63861,708.23885,5.65863,8.5704,-9.829187878013327,3f3d,3.59029,core-2016
0,-6.13653,2e-08,nM,20.0,Kd,65.79021,711.67702,6.11192,28.46582,-10.56738275713822,3f3e,3.81951,core-2016
0,-7.18034,3.52e-05,uM,35.2,Ki,124.96129,1261.33825,8.68943,26.67913,-6.112686273762228,2wbg,7.18246,core-2016
0,-6.51803,3.2999999999999997e-06,uM,3.3,Kd,73.0418,849.97918,10.75725,7.12441,-7.523728660146085,2cbv,7.46596,core-2016
0,-5.70903,3.8400000000000005e-07,nM,384.0,Kd,85.13336,904.14289,10.98281,0.0,-8.80596073980621,2j78,8.63939,core-2016
0,-5.73237,6.5e-08,nM,65.0,Kd,71.58317,689.36382,8.40005,0.0,-9.864786513818967,2j7h,5.3168,core-2016
0,-7.83888,9.6e-09,nM,9.6,Kd,113.14827,1389.93301,9.09277,21.89482,-11.004901782403529,2cet,7.98262,core-2016
0,-7.11374,0.00014,mM,1.4,Kd,57.70267,781.9295,3.47101,39.15369,-5.289712795485097,3udh,2.83374,core-2016
0,-6.89746,3.8799999999999994e-05,uM,38.8,Kd,63.73075,802.63189,2.41083,38.89983,-6.054641534586821,3rsx,2.00429,core-2016
0,-9.36823,1.8999999999999998e-07,uM,0.19,Ki,97.66442,1427.84281,4.16512,58.58323,-9.225387715988889,4djv,4.18338,core-2016
0,-10.41904,1.8000000000000002e-09,nM,1.8,Ki,209.42178,2535.02868,6.38158,87.84996,-12.002759134455601,2vkm,8.92196,core-2016
0,-10.8046,1.7000000000000003e-11,nM,0.017,Ki,213.73502,2612.3624,7.37534,85.80098,-14.781973212813096,4gid,8.56091,core-2016
0,-6.1596,5.4e-06,uM,5.4,Ki,65.42936,912.23836,4.57222,20.52034,-7.23016342737929,4jfs,3.80446,core-2016
0,-6.09498,2e-06,uM,2.0,Ki,68.21508,843.72705,4.9864,19.55335,-7.82224080927072,4j28,4.25117,core-2016
0,-5.00816,7.550000000000001e-07,nM,755.0,Kd,74.36677,820.19493,8.67595,0.0,-8.40295231507641,2wvt,6.71538,core-2016
0,-9.02375,6.33e-08,nM,63.3,Kd,121.7917,1423.53229,8.40918,24.17038,-9.880584320697363,2xii,7.20548,core-2016
0,-6.85648,1.4000000000000001e-08,nM,14.0,Ki,66.9826,815.14059,5.35394,30.64428,-10.779996691220099,4pcs,3.26639,core-2016
0,-6.97544,2.805e-05,uM,28.05,Ki,106.77298,1015.35684,4.86371,14.67164,-6.248035220085958,3rr4,5.49715,core-2016
0,-7.92095,7e-06,uM,7.0,Ki,79.08457,851.37108,4.33866,28.90417,-7.07546880375063,1s38,3.11275,core-2016
0,-6.89607,3.5e-07,uM,0.35,Ki,90.32457,801.76854,6.23335,22.84939,-8.861224812016165,1r5y,5.36385,core-2016
0,-8.78277,5.5e-08,nM,55.0,Ki,123.89145,1193.12988,7.49616,22.9425,-9.96436745368668,3gc5,5.86841,core-2016
0,-9.71566,2e-09,nM,2.0,Ki,148.11698,1508.95308,8.28653,37.18303,-11.939953731071972,3ge7,6.92746,core-2016
0,-8.80704,2.4e-06,uM,2.4,Kd,93.7294,1244.52625,0.90143,65.13004,-7.713558929265843,4dli,2.32727,core-2016
0,-10.52629,4.8e-07,uM,0.48,Kd,91.01268,1578.21628,2.58661,83.11043,-8.67294486886781,2zb1,2.61908,core-2016
0,-10.24927,1.14e-07,nM,114.0,Ki,95.4196,1351.63209,2.0,65.587,-9.529890870315796,4f9w,2.13462,core-2016
0,-12.58839,1e-08,nM,10.0,Ki,117.84509,1551.60675,4.32381,96.91595,-10.980567791470005,3e92,3.09693,core-2016
0,-13.33781,1.4e-09,nM,1.4,Ki,129.55084,2091.97983,3.41397,84.32647,-12.15256766515385,3e93,3.72104,core-2016
0,-4.64743,0.00109,uM,1090.0,Ki,44.14604,570.14604,0.64472,22.65273,-4.06634239707196,4owm,0.74632,core-2016
0,-4.37038,0.00011899999999999999,uM,119.0,Ki,36.8539,532.66048,1.2106,21.28173,-5.386590329358721,3twp,0.90904,core-2016
0,-5.19383,1.4999999999999999e-05,uM,15.0,Ki,59.16455,760.27888,1.58601,15.40441,-6.621157118725477,3r88,1.47695,core-2016
0,-7.28489,6.799999999999999e-06,uM,6.8,Ki,82.19156,1109.47461,4.53946,45.80005,-7.092748274480776,4gkm,4.68212,core-2016
0,-7.54918,1.5e-06,uM,1.5,Ki,74.96042,1146.05968,4.06811,43.745,-7.993728092659227,3qqs,3.79884,core-2016
0,-4.16492,0.00075,mM,7.5,Ki,42.29731,660.09223,3.35823,8.73834,-4.289200205189758,3gv9,3.00852,core-2016
0,-4.03372,0.00030000000000000003,mM,3.0,Ki,38.79528,602.72467,1.54917,9.64977,-4.835401110459942,3gr2,1.46619,core-2016
0,-5.09854,8e-05,mM,0.8,Ki,44.27247,786.97511,3.94478,15.2443,-5.623299766673402,4kz6,2.78088,core-2016
0,-6.88492,1.8e-05,uM,18.0,Ki,80.06084,1098.35843,7.7972,18.9482,-6.5124752387206,4jxs,5.30952,core-2016
0,-7.68007,8e-06,uM,8.0,Ki,82.64058,1217.28766,4.15602,50.73105,-6.9958707406071525,2r9w,4.17991,core-2016
0,-5.56911,0.00015999999999999999,uM,160.0,Ki,68.71392,850.41021,4.05175,7.88714,-5.210114732341619,2hb1,3.11533,core-2016
0,-8.64098,1.2e-05,uM,12.0,Ki,125.17436,1303.6604,8.13383,81.46664,-6.754172989663877,1bzc,7.30516,core-2016
0,-7.46605,4.6999999999999995e-07,uM,0.47,Ki,90.73359,1352.11005,4.62505,36.44567,-8.685494806090638,2qbr,3.85534,core-2016
0,-8.01516,3.6e-08,uM,0.036,Ki,96.11647,1431.40054,4.40132,32.00662,-10.217003126190068,2qbq,3.83122,core-2016
0,-8.93519,4e-09,uM,0.004,Ki,116.39672,1788.08339,4.30573,37.88074,-11.526768696740188,2qbp,4.25778,core-2016
0,-6.45084,1.75e-05,uM,17.5,Kd,51.00472,1172.38781,1.93033,23.89433,-6.529267898480447,1q8t,2.44563,core-2016
0,-7.56288,3e-06,uM,3.0,Ki,68.19202,1267.44545,1.28676,34.66336,-7.580543058327443,1ydr,2.95996,core-2016
0,-8.27594,1.1e-06,uM,1.1,Kd,68.11549,1330.7119,0.84328,44.06557,-8.178611445421145,1q8u,2.47424,core-2016
0,-8.34381,4.8000000000000006e-08,nM,48.0,Ki,112.03077,1631.23525,2.07344,43.43118,-10.045515842801562,1ydt,3.4413,core-2016
0,-5.41589,9.000000000000001e-09,nM,9.0,Ki,122.17526,2130.30845,7.76154,19.45405,-11.043373194853634,3ag9,5.22487,core-2016
0,-3.90829,0.00017,mM,1.7,Ki,63.64286,824.68362,2.10525,16.44804,-5.173976395276842,3fcq,4.4454,core-2016
0,-4.86907,2.2999999999999996e-06,uM,2.3,Ki,63.67077,970.99873,2.85942,32.85265,-7.738928715420888,1z9g,4.02228,core-2016
0,-6.74743,4.8000000000000006e-08,nM,48.0,Ki,103.93067,1439.09048,5.75227,53.02777,-10.045515842801562,1qf1,6.02919,core-2016
0,-7.13941,9.1e-09,nM,9.1,Ki,102.12554,1578.93808,4.98983,43.01729,-11.036786387502811,5tmn,3.85651,core-2016
0,-8.11047,6.800000000000001e-11,nM,0.068,Ki,131.39033,1876.81682,8.1816,54.34773,-13.95560314414953,4tmn,7.51164,core-2016
0,-5.73226,0.000513,mM,5.13,Kd,55.85288,852.50998,0.74177,13.03481,-4.5155974122962075,4ddk,1.43383,core-2016
0,-5.78475,4.8e-05,mM,0.48,Kd,68.05069,1012.37463,2.47524,10.3196,-5.92780292100031,4ddh,3.15318,core-2016
0,-7.71847,4.9999999999999996e-05,uM,50.0,Kd,112.99831,1757.23415,0.95084,34.04269,-5.903468930066786,3ivg,4.70256,core-2016
0,-9.54755,2.7e-06,uM,2.7,Kd,126.90598,1832.22339,7.55927,9.37732,-7.643348461711073,3coz,4.95632,core-2016
0,-10.23377,9.6e-07,uM,0.96,Kd,137.68348,1891.79222,7.88087,12.2391,-8.259759834536027,3coy,4.87723,core-2016
0,-5.68667,3.7e-05,uM,37.0,Kd,44.46991,765.2076,1.0,51.18721,-6.0829576758752815,3pxf,1.46634,core-2016
0,-8.67458,5.000000000000001e-07,nM,500.0,Ki,98.37138,1553.03738,3.16264,22.3448,-8.648610877934287,4eor,2.59525,core-2016
0,-9.28618,1.49e-07,nM,149.0,Ki,86.04595,1571.63712,2.43608,34.05521,-9.370286372429668,2xnb,2.77486,core-2016
0,-8.28699,7e-08,uM,0.07,Ki,88.83688,1406.13321,2.99149,31.19864,-9.820610751618132,1pxn,3.89381,core-2016
0,-8.69678,3.0000000000000004e-09,nM,3.0,Ki,101.44272,1596.7242,3.05264,30.12327,-11.698255980128696,2fvd,3.49453,core-2016
0,-7.56349,2.3500000000000003e-07,nM,235.0,Ki,57.66832,1163.18507,1.71239,18.60171,-9.098679840422422,4k77,1.49861,core-2016
0,-10.32683,2.2000000000000002e-08,nM,22.0,Ki,109.78361,1591.54891,2.54789,19.22059,-10.510568358956862,4e5w,2.55776,core-2016
0,-9.79337,1.9e-09,nM,1.9,Ki,82.94322,1409.74207,2.65281,26.23217,-11.97052966385639,4ivb,1.75717,core-2016
0,-8.90724,3e-10,nM,0.3,Ki,96.14213,1486.27291,2.63107,29.90738,-13.070826954062445,4ivd,2.88775,core-2016
0,-9.80826,1.0000000000000002e-10,nM,0.1,Ki,97.53851,1506.74462,2.64572,28.19733,-13.725709739337505,4ivc,2.33614,core-2016
0,-8.21395,2.0000000000000002e-07,nM,200.0,Ki,63.43527,1146.56312,1.69896,20.10664,-9.194811783204472,4f09,1.39987,core-2016
0,-7.32665,6e-08,uM,0.06,Ki,68.44694,1130.48171,0.66885,23.23251,-9.91249997186316,4gfm,1.53595,core-2016
0,-8.9197,1.19e-08,nM,11.9,Ki,84.84042,1502.19405,0.81106,25.70096,-10.876874225093722,4hge,1.96991,core-2016
0,-8.92262,4.4000000000000005e-09,nM,4.4,Ki,81.59521,1484.30672,1.41933,20.51574,-11.469954298558829,4e6q,1.9302,core-2016
0,-8.95935,6e-10,nM,0.6,Ki,86.82351,1453.83806,0.96666,47.14316,-12.657641919730663,4jia,1.46691,core-2016
0,-7.88167,1.37e-05,uM,13.7,Ki,75.47178,1278.45787,0.50209,45.03733,-6.6751961876501085,2brb,1.42538,core-2016
0,-7.82444,7.2e-06,uM,7.2,Ki,82.7315,1433.12516,0.75812,37.37514,-7.058676143990783,2br1,1.5417,core-2016
0,-7.04942,1.89e-06,uM,1.89,Ki,89.39099,881.01135,2.03386,39.58149,-7.855962395792951,3jvr,1.91925,core-2016
0,-7.52033,2.9e-07,uM,0.29,Kd,103.13016,1119.58389,2.17807,54.32662,-8.973322747215066,3jvs,3.46359,core-2016
0,-12.55767,5.6e-09,nM,5.6,Ki,110.81684,1896.401,4.41865,63.85176,-11.326197596490283,1nvq,4.07525,core-2016
0,-10.2398,1.75e-05,uM,17.5,Ki,67.58218,1373.37104,1.0,82.17377,-6.529267898480447,3acw,1.45619,core-2016
0,-7.58747,3.6e-07,uM,0.36,Ki,71.20237,1488.73699,0.47655,63.30816,-8.844432152256317,4ea2,1.34189,core-2016
0,-8.66109,1.35e-07,nM,135.0,Ki,88.03338,1640.70404,3.7662,90.7115,-9.429104469976608,2zcr,3.88493,core-2016
0,-8.61804,4e-08,uM,0.04,Ki,79.71149,1426.43788,3.48895,60.81723,-10.154197722806439,2zy1,2.05583,core-2016
0,-8.10734,1.5000000000000002e-09,nM,1.5,Ki,92.84226,1408.85491,6.13186,59.11174,-12.111441014460478,2zcq,5.17241,core-2016
0,-6.75575,5.300000000000001e-05,mM,0.53,Kd,61.69003,865.73146,0.74758,11.1526,-5.868734833934084,1bcu,0.63544,core-2016
0,-8.23904,4.4e-06,uM,4.4,Ki,95.23337,1789.33481,2.60498,50.18941,-7.352241376757578,3bv9,1.38568,core-2016
0,-10.60034,5.7e-08,uM,0.057,Ki,103.09673,1621.48194,4.15197,40.85064,-9.94307590464758,1oyt,2.9901,core-2016
0,-9.46074,4e-09,nM,4.0,Ki,109.78994,1524.35882,6.04218,50.5877,-11.526768696740188,2zda,3.81346,core-2016
0,-9.92316,1.2e-11,nM,0.012,Ki,166.87926,2048.28096,4.69079,48.66926,-14.989598833266381,3utu,3.80479,core-2016
0,-4.35929,4.1700000000000004e-05,uM,41.7,Ki,53.75114,763.1717,1.41324,47.68242,-6.011674120721988,3u9q,2.3273,core-2016
0,-7.48128,2.3599999999999997e-07,uM,0.236,Ki,68.77932,1311.18285,1.0,55.75412,-9.096148626427988,2yfe,1.17012,core-2016
0,-11.08951,1e-08,nM,10.0,Ki,124.9691,1644.26702,1.54883,57.52129,-10.980567791470005,3fur,1.80442,core-2016
0,-10.27895,3.3e-09,nM,3.3,Ki,104.05212,1906.72089,0.0,69.52337,-11.641441581947337,3b1m,1.77059,core-2016
0,-10.8395,1e-09,nM,1.0,Ki,117.77888,2278.43515,1.33219,64.86993,-12.353138765403754,2p4y,2.92546,core-2016
0,-8.96562,2.99e-07,nM,299.0,Kd,98.95352,1512.38675,4.87599,53.70683,-8.955104351305566,3uo4,4.70578,core-2016
0,-8.8114,4e-08,nM,40.0,Kd,99.84728,1490.3874,3.88105,44.61204,-10.154197722806439,3up2,3.17407,core-2016
0,-8.39545,5.900000000000001e-09,nM,5.9,Ki,114.80338,1639.98362,1.28957,59.65715,-11.295089669025307,3e5a,4.22564,core-2016
0,-10.48362,1.8000000000000002e-09,nM,1.8,Ki,95.86704,1763.30892,1.96765,58.31613,-12.002759134455601,2wtv,3.29362,core-2016
0,-6.07623,2.0000000000000002e-11,nM,0.02,Kd,96.33326,1453.82619,2.24775,12.06081,-14.685095678939472,3myg,4.24984,core-2016
0,-4.27843,0.000268,mM,2.68,Ki,49.30992,691.00545,1.16535,3.73961,-4.902638504519982,3kgp,1.46526,core-2016
0,-5.28954,9.7e-05,uM,97.0,Ki,60.22505,620.10041,4.58183,5.28937,-5.508440629316636,1c5z,2.9335,core-2016
0,-5.69984,1.6999999999999998e-06,uM,1.7,Ki,74.43504,794.6496,2.96824,7.3312,-7.919118343144343,1o5b,3.03799,core-2016
0,-7.278,4e-08,nM,40.0,Ki,78.34033,1164.33498,5.29657,11.25475,-10.154197722806439,1owh,3.43534,core-2016
0,-7.62869,6.2e-10,nM,0.62,Ki,103.17696,1434.62069,4.39301,8.77225,-12.638095906345878,1sqa,3.81213,core-2016
0,-3.56674,0.005,uM,5000.0,Ki,41.53445,554.87314,0.00344,3.75647,-3.1583269821992843,4jsz,0.70777,core-2016
0,-2.54657,8.4e-05,uM,84.0,Ki,53.14709,854.26031,1.91931,16.34963,-5.594215949812004,3kwa,4.36199,core-2016
0,-4.52488,3.1400000000000003e-07,nM,314.0,Kd,52.68615,682.52959,1.59414,18.76476,-8.925925606503846,2weg,2.45339,core-2016
0,-5.86854,1.6e-08,nM,16.0,Kd,56.89466,942.28545,2.63332,28.91344,-10.700398628076622,3ryj,2.41093,core-2016
0,-4.99758,1e-09,nM,1.0,Ki,59.55705,862.91372,1.80643,13.32291,-12.353138765403754,3dd0,2.47546,core-2016
0,-6.27402,0.00079,uM,790.0,Kd,65.9321,1041.63604,1.14286,14.2258,-4.258227004813161,2xdl,1.14546,core-2016
0,-6.71369,6.9e-06,uM,6.9,Kd,58.71293,938.13746,0.93427,29.66125,-7.084045930145828,3b27,0.97254,core-2016
0,-9.43721,6.800000000000001e-07,nM,680.0,Kd,94.5314,1549.06569,2.95997,35.70626,-8.465319248414527,1yc1,2.5564,core-2016
0,-9.10963,3.0000000000000004e-08,nM,30.0,Ki,81.02458,1323.39937,1.65897,41.1242,-10.325685006194945,3rlr,2.3153,core-2016
